name,type,count,shape0,shape1,shape2,mean0,mean1,mean2
1.2.826.0.1.3680043.18659.npz,C6,40761,33.0,89.0,103.0,101.5,104.5,120.5
1.2.826.0.1.3680043.18659.npz,C7,49798,41.0,103.0,122.0,82.5,118.5,119.0
1.2.826.0.1.3680043.17364.npz,C1,65355,32.0,82.0,142.0,184.0,83.0,124.0
1.2.826.0.1.3680043.17364.npz,C2,82932,56.0,99.0,111.0,167.0,91.5,129.5
1.2.826.0.1.3680043.17364.npz,C3,57951,43.0,86.0,109.0,135.5,90.0,133.5
1.2.826.0.1.3680043.17364.npz,C4,62641,47.0,86.0,115.0,115.5,103.0,138.5
1.2.826.0.1.3680043.17364.npz,C5,63282,43.0,93.0,112.0,95.5,117.5,140.0
1.2.826.0.1.3680043.17364.npz,C6,72499,49.0,101.0,111.0,79.5,133.5,144.5
1.2.826.0.1.3680043.17364.npz,C7,78479,42.0,125.0,130.0,65.0,157.5,147.0
1.2.826.0.1.3680043.849.npz,C1,40631,38.0,89.0,127.0,199.0,79.5,126.5
1.2.826.0.1.3680043.849.npz,C2,55125,47.0,87.0,93.0,189.5,83.5,128.5
1.2.826.0.1.3680043.849.npz,C3,40740,31.0,71.0,94.0,159.5,78.5,132.0
1.2.826.0.1.3680043.849.npz,C4,39584,44.0,68.0,101.0,133.0,80.0,133.5
1.2.826.0.1.3680043.849.npz,C5,42903,53.0,79.0,99.0,109.5,88.5,137.5
1.2.826.0.1.3680043.849.npz,C6,45552,47.0,90.0,108.0,92.5,95.0,137.0
1.2.826.0.1.3680043.849.npz,C7,54098,39.0,109.0,115.0,80.5,107.5,138.5
1.2.826.0.1.3680043.24045.npz,C1,24923,38.0,55.0,93.0,199.0,58.5,115.5
1.2.826.0.1.3680043.24045.npz,C2,29413,54.0,63.0,62.0,184.0,61.5,120.0
1.2.826.0.1.3680043.24045.npz,C3,21402,35.0,57.0,65.0,157.5,58.5,124.5
1.2.826.0.1.3680043.24045.npz,C4,20420,36.0,54.0,67.0,140.0,62.0,124.5
1.2.826.0.1.3680043.24045.npz,C5,22872,49.0,56.0,72.0,122.5,73.0,128.0
1.2.826.0.1.3680043.24045.npz,C6,24213,43.0,83.0,70.0,103.5,97.5,133.0
1.2.826.0.1.3680043.24045.npz,C7,29509,56.0,85.0,79.0,94.0,110.5,131.5
1.2.826.0.1.3680043.4744.npz,C1,76838,37.0,82.0,147.0,211.5,74.0,112.5
1.2.826.0.1.3680043.4744.npz,C2,93723,64.0,95.0,104.0,193.0,80.5,116.0
1.2.826.0.1.3680043.4744.npz,C3,55453,35.0,89.0,101.0,156.5,78.5,117.5
1.2.826.0.1.3680043.4744.npz,C4,53400,50.0,89.0,103.0,127.0,86.5,119.5
1.2.826.0.1.3680043.4744.npz,C5,51674,42.0,90.0,107.0,110.0,93.0,125.5
1.2.826.0.1.3680043.4744.npz,C6,59431,53.0,122.0,109.0,82.5,113.0,130.5
1.2.826.0.1.3680043.4744.npz,C7,62785,52.0,131.0,118.0,58.0,125.5,133.0
1.2.826.0.1.3680043.15773.npz,C1,43240,34.0,69.0,127.0,193.0,70.5,120.5
1.2.826.0.1.3680043.15773.npz,C2,68164,70.0,90.0,99.0,173.0,66.0,124.5
1.2.826.0.1.3680043.15773.npz,C3,29890,44.0,71.0,94.0,148.0,56.5,123.0
1.2.826.0.1.3680043.15773.npz,C4,31571,42.0,79.0,95.0,134.0,61.5,123.5
1.2.826.0.1.3680043.15773.npz,C5,36272,38.0,74.0,100.0,120.0,60.0,127.0
1.2.826.0.1.3680043.15773.npz,C6,46201,48.0,95.0,101.0,99.0,80.5,129.5
1.2.826.0.1.3680043.15773.npz,C7,43205,43.0,123.0,116.0,89.5,107.5,131.0
1.2.826.0.1.3680043.24946.npz,C1,39579,30.0,70.0,135.0,205.0,72.0,142.5
1.2.826.0.1.3680043.24946.npz,C2,49224,52.0,81.0,92.0,189.0,72.5,136.0
1.2.826.0.1.3680043.24946.npz,C3,34039,42.0,73.0,91.0,157.0,59.5,133.5
1.2.826.0.1.3680043.24946.npz,C4,29992,39.0,68.0,94.0,139.5,58.0,132.0
1.2.826.0.1.3680043.24946.npz,C5,31113,25.0,69.0,93.0,126.5,57.5,133.5
1.2.826.0.1.3680043.24946.npz,C6,37184,26.0,94.0,95.0,108.0,68.0,131.5
1.2.826.0.1.3680043.24946.npz,C7,44887,32.0,101.0,119.0,88.0,78.5,133.5
1.2.826.0.1.3680043.9290.npz,C1,53660,32.0,91.0,146.0,182.0,112.5,122.0
1.2.826.0.1.3680043.9290.npz,C2,62938,57.0,94.0,109.0,165.5,106.0,122.5
1.2.826.0.1.3680043.9290.npz,C3,44019,32.0,75.0,104.0,138.0,93.5,120.0
1.2.826.0.1.3680043.9290.npz,C4,44844,33.0,84.0,106.0,119.5,98.0,120.0
1.2.826.0.1.3680043.9290.npz,C5,46366,33.0,88.0,114.0,100.5,102.0,119.0
1.2.826.0.1.3680043.9290.npz,C6,57790,31.0,107.0,124.0,82.5,110.5,118.0
1.2.826.0.1.3680043.9290.npz,C7,62739,31.0,117.0,154.0,61.5,128.5,117.0
1.2.826.0.1.3680043.5482.npz,C1,51986,53.0,68.0,124.0,167.5,73.0,145.0
1.2.826.0.1.3680043.5482.npz,C2,31392,81.0,56.0,69.0,142.5,68.0,137.5
1.2.826.0.1.3680043.5482.npz,C3,13163,38.0,35.0,57.0,125.0,51.5,119.5
1.2.826.0.1.3680043.5482.npz,C4,4164,46.0,36.0,35.0,115.0,51.0,106.5
1.2.826.0.1.3680043.5482.npz,C5,1709,45.0,44.0,60.0,105.5,50.0,114.0
1.2.826.0.1.3680043.5482.npz,C6,4,0.0,1.0,2.0,94.0,70.5,103.0
1.2.826.0.1.3680043.5482.npz,C7,4,2.0,1.0,1.0,83.0,68.5,96.5
1.2.826.0.1.3680043.11090.npz,C1,61348,42.0,77.0,136.0,200.0,85.5,125.0
1.2.826.0.1.3680043.11090.npz,C2,76510,73.0,90.0,91.0,180.5,91.0,128.5
1.2.826.0.1.3680043.11090.npz,C3,44049,32.0,75.0,97.0,147.0,83.5,125.5
1.2.826.0.1.3680043.11090.npz,C4,47343,41.0,74.0,95.0,125.5,86.0,127.5
1.2.826.0.1.3680043.11090.npz,C5,52950,48.0,79.0,95.0,99.0,94.5,127.5
1.2.826.0.1.3680043.11090.npz,C6,53686,45.0,84.0,109.0,78.5,105.0,132.5
1.2.826.0.1.3680043.11090.npz,C7,65295,51.0,105.0,113.0,59.5,126.5,123.5
1.2.826.0.1.3680043.13810.npz,C1,76532,36.0,84.0,167.0,198.0,81.0,122.5
1.2.826.0.1.3680043.13810.npz,C2,93647,63.0,100.0,113.0,177.5,83.0,128.5
1.2.826.0.1.3680043.13810.npz,C3,60126,40.0,96.0,114.0,147.0,78.0,131.0
1.2.826.0.1.3680043.13810.npz,C4,55574,34.0,99.0,122.0,128.0,78.5,132.0
1.2.826.0.1.3680043.13810.npz,C5,60035,32.0,97.0,128.0,110.0,75.5,134.0
1.2.826.0.1.3680043.13810.npz,C6,66761,34.0,111.0,135.0,88.0,84.5,131.5
1.2.826.0.1.3680043.13810.npz,C7,81755,38.0,123.0,156.0,67.0,98.5,131.0
1.2.826.0.1.3680043.28252.npz,C1,25037,30.0,60.0,108.0,222.0,118.0,114.0
1.2.826.0.1.3680043.28252.npz,C2,31225,45.0,73.0,75.0,208.5,127.5,109.5
1.2.826.0.1.3680043.28252.npz,C3,20581,27.0,61.0,75.0,181.5,126.5,109.5
1.2.826.0.1.3680043.28252.npz,C4,21361,28.0,63.0,76.0,163.0,131.5,108.0
1.2.826.0.1.3680043.28252.npz,C5,21197,46.0,68.0,77.0,136.0,138.0,107.5
1.2.826.0.1.3680043.28252.npz,C6,23539,43.0,56.0,82.0,119.5,134.0,108.0
1.2.826.0.1.3680043.28252.npz,C7,18857,47.0,81.0,95.0,99.5,147.5,105.5
1.2.826.0.1.3680043.26052.npz,C1,54556,31.0,84.0,145.0,186.5,105.0,112.5
1.2.826.0.1.3680043.26052.npz,C2,63627,51.0,93.0,99.0,173.5,113.5,115.5
1.2.826.0.1.3680043.26052.npz,C3,40476,30.0,84.0,92.0,146.0,114.0,119.0
1.2.826.0.1.3680043.26052.npz,C4,40232,30.0,89.0,94.0,127.0,114.5,119.0
1.2.826.0.1.3680043.26052.npz,C5,45470,33.0,91.0,102.0,109.5,116.5,123.0
1.2.826.0.1.3680043.26052.npz,C6,46639,33.0,106.0,107.0,92.5,126.0,126.5
1.2.826.0.1.3680043.26052.npz,C7,56274,37.0,131.0,125.0,74.5,143.5,127.5
1.2.826.0.1.3680043.4131.npz,C1,42095,25.0,79.0,131.0,190.5,96.5,123.5
1.2.826.0.1.3680043.4131.npz,C2,54090,46.0,87.0,99.0,178.0,110.5,125.5
1.2.826.0.1.3680043.4131.npz,C3,37375,29.0,72.0,94.0,149.5,113.0,127.0
1.2.826.0.1.3680043.4131.npz,C4,37618,28.0,74.0,101.0,129.0,124.0,128.5
1.2.826.0.1.3680043.4131.npz,C5,44178,32.0,82.0,108.0,110.0,134.0,130.0
1.2.826.0.1.3680043.4131.npz,C6,44332,31.0,96.0,106.0,91.5,146.0,131.0
1.2.826.0.1.3680043.4131.npz,C7,49269,30.0,111.0,125.0,71.0,156.5,127.5
1.2.826.0.1.3680043.9996.npz,C1,47561,37.0,83.0,122.0,190.5,56.5,125.0
1.2.826.0.1.3680043.9996.npz,C2,58965,58.0,79.0,90.0,175.0,60.5,127.0
1.2.826.0.1.3680043.9996.npz,C3,40067,40.0,65.0,89.0,138.0,62.5,128.5
1.2.826.0.1.3680043.9996.npz,C4,35047,37.0,71.0,90.0,120.5,76.5,130.0
1.2.826.0.1.3680043.9996.npz,C5,53559,44.0,87.0,94.0,101.0,88.5,133.0
1.2.826.0.1.3680043.9996.npz,C6,50693,55.0,98.0,94.0,90.5,104.0,134.0
1.2.826.0.1.3680043.9996.npz,C7,55603,65.0,116.0,106.0,71.5,124.0,135.0
1.2.826.0.1.3680043.13814.npz,C1,40903,35.0,68.0,130.0,210.5,102.0,113.0
1.2.826.0.1.3680043.13814.npz,C2,56997,58.0,87.0,85.0,190.0,110.5,116.5
1.2.826.0.1.3680043.13814.npz,C3,39285,37.0,80.0,86.0,159.5,109.0,120.0
1.2.826.0.1.3680043.13814.npz,C4,41266,48.0,75.0,87.0,132.0,107.5,122.5
1.2.826.0.1.3680043.13814.npz,C5,42272,53.0,74.0,91.0,108.5,106.0,123.5
1.2.826.0.1.3680043.13814.npz,C6,26888,44.0,103.0,86.0,91.0,117.5,126.0
1.2.826.0.1.3680043.13814.npz,C7,37251,41.0,101.0,103.0,72.5,122.5,127.5
1.2.826.0.1.3680043.9121.npz,C1,78316,34.0,86.0,165.0,181.0,99.0,130.5
1.2.826.0.1.3680043.9121.npz,C2,88159,53.0,97.0,118.0,166.5,106.5,132.0
1.2.826.0.1.3680043.9121.npz,C3,59324,32.0,92.0,107.0,132.0,105.0,132.5
1.2.826.0.1.3680043.9121.npz,C4,56589,30.0,104.0,113.0,111.0,103.0,137.5
1.2.826.0.1.3680043.9121.npz,C5,57349,33.0,119.0,110.0,93.5,110.5,136.0
1.2.826.0.1.3680043.9121.npz,C6,86299,42.0,147.0,122.0,77.0,127.5,134.0
1.2.826.0.1.3680043.9121.npz,C7,81394,48.0,155.0,142.0,49.0,139.5,141.0
1.2.826.0.1.3680043.9447.npz,C1,49980,31.0,73.0,132.0,200.5,111.5,129.0
1.2.826.0.1.3680043.9447.npz,C2,69489,60.0,85.0,100.0,183.0,118.5,126.0
1.2.826.0.1.3680043.9447.npz,C3,44522,30.0,75.0,94.0,153.0,116.5,125.0
1.2.826.0.1.3680043.9447.npz,C4,46025,30.0,83.0,102.0,131.0,122.5,124.0
1.2.826.0.1.3680043.9447.npz,C5,48862,31.0,84.0,102.0,108.5,125.0,123.0
1.2.826.0.1.3680043.9447.npz,C6,55276,33.0,102.0,106.0,86.5,136.0,122.0
1.2.826.0.1.3680043.9447.npz,C7,65540,39.0,110.0,122.0,62.5,150.0,122.0
1.2.826.0.1.3680043.7824.npz,C1,55376,52.0,80.0,113.0,202.0,144.0,149.5
1.2.826.0.1.3680043.7824.npz,C2,73054,72.0,78.0,87.0,183.0,144.0,152.5
1.2.826.0.1.3680043.7824.npz,C3,38608,77.0,69.0,86.0,130.5,144.5,154.0
1.2.826.0.1.3680043.7824.npz,C4,83254,84.0,76.0,92.0,106.0,148.0,160.0
1.2.826.0.1.3680043.7824.npz,C5,18218,79.0,76.0,88.0,90.5,151.0,155.0
1.2.826.0.1.3680043.7824.npz,C6,43017,46.0,91.0,87.0,55.0,157.5,156.5
1.2.826.0.1.3680043.7824.npz,C7,69131,56.0,98.0,111.0,32.0,181.0,155.5
1.2.826.0.1.3680043.4561.npz,C1,31762,26.0,63.0,106.0,192.0,123.5,148.0
1.2.826.0.1.3680043.4561.npz,C2,38922,48.0,70.0,73.0,180.0,130.0,146.5
1.2.826.0.1.3680043.4561.npz,C3,26712,27.0,63.0,71.0,149.5,127.5,147.5
1.2.826.0.1.3680043.4561.npz,C4,26322,30.0,61.0,73.0,129.0,129.5,147.5
1.2.826.0.1.3680043.4561.npz,C5,28734,28.0,67.0,77.0,109.0,136.5,146.5
1.2.826.0.1.3680043.4561.npz,C6,32930,30.0,79.0,86.0,89.0,143.5,143.0
1.2.826.0.1.3680043.4561.npz,C7,33512,33.0,82.0,110.0,66.5,148.0,145.0
1.2.826.0.1.3680043.28657.npz,C1,28399,36.0,56.0,99.0,165.0,63.0,150.5
1.2.826.0.1.3680043.28657.npz,C2,36046,62.0,66.0,71.0,148.0,67.0,151.5
1.2.826.0.1.3680043.28657.npz,C3,18258,31.0,54.0,60.0,112.5,62.0,150.0
1.2.826.0.1.3680043.28657.npz,C4,18406,37.0,48.0,62.0,90.5,60.0,150.0
1.2.826.0.1.3680043.28657.npz,C5,18351,52.0,58.0,69.0,80.0,73.0,150.5
1.2.826.0.1.3680043.28657.npz,C6,11861,63.0,68.0,62.0,71.5,86.0,149.0
1.2.826.0.1.3680043.28657.npz,C7,12574,78.0,88.0,66.0,70.0,111.0,147.0
1.2.826.0.1.3680043.22438.npz,C1,13641,37.0,36.0,72.0,203.5,55.0,113.0
1.2.826.0.1.3680043.22438.npz,C2,15300,41.0,54.0,44.0,195.5,68.0,115.0
1.2.826.0.1.3680043.22438.npz,C3,7358,28.0,40.0,46.0,169.0,69.0,114.0
1.2.826.0.1.3680043.22438.npz,C4,12741,34.0,47.0,47.0,150.0,75.5,117.5
1.2.826.0.1.3680043.22438.npz,C5,19095,46.0,50.0,52.0,129.0,85.0,121.0
1.2.826.0.1.3680043.22438.npz,C6,18580,59.0,59.0,54.0,113.5,104.5,124.0
1.2.826.0.1.3680043.22438.npz,C7,17641,59.0,65.0,52.0,98.5,117.5,126.0
1.2.826.0.1.3680043.5565.npz,C1,72832,46.0,93.0,172.0,217.0,87.5,136.0
1.2.826.0.1.3680043.5565.npz,C2,95755,65.0,99.0,118.0,197.5,84.5,132.0
1.2.826.0.1.3680043.5565.npz,C3,65041,38.0,89.0,110.0,160.0,78.5,132.0
1.2.826.0.1.3680043.5565.npz,C4,74534,54.0,89.0,117.0,127.0,80.5,126.5
1.2.826.0.1.3680043.5565.npz,C5,64271,45.0,87.0,111.0,104.5,83.5,128.5
1.2.826.0.1.3680043.5565.npz,C6,71055,52.0,128.0,120.0,83.0,113.0,122.0
1.2.826.0.1.3680043.5565.npz,C7,94752,63.0,148.0,138.0,62.5,136.0,122.0
1.2.826.0.1.3680043.29194.npz,C1,63093,51.0,106.0,150.0,186.5,84.0,128.0
1.2.826.0.1.3680043.29194.npz,C2,81312,72.0,99.0,100.0,173.0,84.5,130.0
1.2.826.0.1.3680043.29194.npz,C3,55429,35.0,79.0,101.0,142.5,76.5,132.5
1.2.826.0.1.3680043.29194.npz,C4,63967,55.0,87.0,110.0,109.5,81.5,131.0
1.2.826.0.1.3680043.29194.npz,C5,51655,50.0,89.0,114.0,89.0,83.5,132.0
1.2.826.0.1.3680043.29194.npz,C6,55031,39.0,93.0,119.0,71.5,87.5,132.5
1.2.826.0.1.3680043.29194.npz,C7,79014,45.0,128.0,139.0,47.5,110.0,134.5
1.2.826.0.1.3680043.1381.npz,C1,50814,45.0,74.0,130.0,216.5,76.0,135.0
1.2.826.0.1.3680043.1381.npz,C2,67677,78.0,91.0,90.0,195.0,82.5,127.0
1.2.826.0.1.3680043.1381.npz,C3,48833,38.0,81.0,90.0,159.0,80.5,129.0
1.2.826.0.1.3680043.1381.npz,C4,48402,43.0,81.0,94.0,131.5,86.5,128.0
1.2.826.0.1.3680043.1381.npz,C5,55315,47.0,89.0,98.0,104.5,96.5,127.0
1.2.826.0.1.3680043.1381.npz,C6,61956,47.0,101.0,108.0,81.5,110.5,129.0
1.2.826.0.1.3680043.1381.npz,C7,76788,54.0,112.0,132.0,58.0,127.0,128.0
1.2.826.0.1.3680043.29548.npz,C1,30929,33.0,58.0,102.0,188.5,105.0,128.0
1.2.826.0.1.3680043.29548.npz,C2,37279,53.0,65.0,73.0,171.5,109.5,126.5
1.2.826.0.1.3680043.29548.npz,C3,24746,32.0,55.0,69.0,142.0,108.5,124.5
1.2.826.0.1.3680043.29548.npz,C4,25445,33.0,59.0,72.0,118.5,114.5,123.0
1.2.826.0.1.3680043.29548.npz,C5,27708,35.0,66.0,77.0,95.5,120.0,123.5
1.2.826.0.1.3680043.29548.npz,C6,32848,38.0,77.0,81.0,76.0,131.5,125.5
1.2.826.0.1.3680043.29548.npz,C7,36669,41.0,88.0,88.0,56.5,143.0,128.0
1.2.826.0.1.3680043.6739.npz,C1,86291,42.0,99.0,155.0,196.0,90.5,145.5
1.2.826.0.1.3680043.6739.npz,C2,105645,60.0,113.0,111.0,182.0,104.5,133.5
1.2.826.0.1.3680043.6739.npz,C3,70480,41.0,89.0,120.0,148.5,105.5,124.0
1.2.826.0.1.3680043.6739.npz,C4,70989,43.0,91.0,117.0,126.5,119.5,125.5
1.2.826.0.1.3680043.6739.npz,C5,77848,42.0,97.0,122.0,111.0,128.5,120.0
1.2.826.0.1.3680043.6739.npz,C6,86659,44.0,110.0,128.0,91.0,141.0,116.0
1.2.826.0.1.3680043.6739.npz,C7,88076,48.0,131.0,153.0,73.0,165.5,109.5
1.2.826.0.1.3680043.4438.npz,C1,36232,36.0,65.0,116.0,187.0,82.5,126.0
1.2.826.0.1.3680043.4438.npz,C2,43452,62.0,73.0,77.0,170.0,77.5,125.5
1.2.826.0.1.3680043.4438.npz,C3,31267,32.0,67.0,83.0,139.0,72.5,129.5
1.2.826.0.1.3680043.4438.npz,C4,34813,36.0,67.0,86.0,119.0,73.5,135.0
1.2.826.0.1.3680043.4438.npz,C5,34879,37.0,71.0,84.0,98.5,79.5,137.0
1.2.826.0.1.3680043.4438.npz,C6,33704,35.0,80.0,82.0,79.5,99.0,140.0
1.2.826.0.1.3680043.4438.npz,C7,42769,44.0,84.0,102.0,62.0,109.0,141.0
1.2.826.0.1.3680043.21586.npz,C1,67824,44.0,85.0,154.0,192.0,90.5,139.0
1.2.826.0.1.3680043.21586.npz,C2,100292,69.0,95.0,110.0,176.5,85.5,141.0
1.2.826.0.1.3680043.21586.npz,C3,69227,35.0,90.0,120.0,143.5,88.0,134.0
1.2.826.0.1.3680043.21586.npz,C4,58860,34.0,90.0,115.0,123.0,95.0,133.5
1.2.826.0.1.3680043.21586.npz,C5,73231,54.0,103.0,113.0,110.0,97.5,131.5
1.2.826.0.1.3680043.21586.npz,C6,81244,58.0,117.0,112.0,89.0,107.5,135.0
1.2.826.0.1.3680043.21586.npz,C7,83246,50.0,110.0,137.0,67.0,119.0,130.5
1.2.826.0.1.3680043.19266.npz,C1,48779,34.0,68.0,130.0,189.0,115.0,128.0
1.2.826.0.1.3680043.19266.npz,C2,58578,55.0,83.0,98.0,173.5,121.5,127.0
1.2.826.0.1.3680043.19266.npz,C3,39424,32.0,72.0,98.0,141.0,121.0,129.0
1.2.826.0.1.3680043.19266.npz,C4,40309,35.0,80.0,97.0,119.5,131.0,128.5
1.2.826.0.1.3680043.19266.npz,C5,44329,49.0,81.0,100.0,94.5,135.5,130.0
1.2.826.0.1.3680043.19266.npz,C6,50523,38.0,100.0,101.0,83.0,149.0,132.5
1.2.826.0.1.3680043.19266.npz,C7,57839,39.0,105.0,117.0,65.5,158.5,131.5
1.2.826.0.1.3680043.22019.npz,C1,53132,30.0,76.0,132.0,198.0,89.0,127.0
1.2.826.0.1.3680043.22019.npz,C2,58754,60.0,83.0,88.0,178.0,92.5,127.0
1.2.826.0.1.3680043.22019.npz,C3,34700,32.0,72.0,85.0,148.0,88.0,130.5
1.2.826.0.1.3680043.22019.npz,C4,36246,32.0,69.0,92.0,131.0,86.5,133.0
1.2.826.0.1.3680043.22019.npz,C5,38341,34.0,74.0,102.0,112.0,90.0,137.0
1.2.826.0.1.3680043.22019.npz,C6,38905,35.0,84.0,99.0,91.5,95.0,138.5
1.2.826.0.1.3680043.22019.npz,C7,52145,38.0,99.0,115.0,73.0,117.5,138.5
1.2.826.0.1.3680043.25093.npz,C1,35511,35.0,61.0,115.0,210.5,124.5,126.5
1.2.826.0.1.3680043.25093.npz,C2,44806,58.0,70.0,77.0,194.0,133.0,126.5
1.2.826.0.1.3680043.25093.npz,C3,28120,32.0,61.0,74.0,157.0,134.5,124.0
1.2.826.0.1.3680043.25093.npz,C4,34389,59.0,60.0,76.0,122.5,137.0,124.0
1.2.826.0.1.3680043.25093.npz,C5,40401,76.0,60.0,80.0,110.0,141.0,123.0
1.2.826.0.1.3680043.25093.npz,C6,5786,40.0,63.0,84.0,84.0,154.5,122.0
1.2.826.0.1.3680043.25093.npz,C7,30519,31.0,85.0,89.0,59.5,162.5,119.5
1.2.826.0.1.3680043.11718.npz,C1,36466,31.0,82.0,140.0,199.5,86.0,110.0
1.2.826.0.1.3680043.11718.npz,C2,47253,54.0,84.0,89.0,184.0,92.0,117.5
1.2.826.0.1.3680043.11718.npz,C3,30169,28.0,73.0,89.0,158.0,86.5,122.5
1.2.826.0.1.3680043.11718.npz,C4,29220,33.0,72.0,96.0,138.5,86.0,124.0
1.2.826.0.1.3680043.11718.npz,C5,31789,29.0,76.0,97.0,124.5,86.0,129.5
1.2.826.0.1.3680043.11718.npz,C6,34171,32.0,93.0,87.0,105.0,94.5,133.5
1.2.826.0.1.3680043.11718.npz,C7,47386,37.0,102.0,116.0,86.5,111.0,131.0
1.2.826.0.1.3680043.6917.npz,C1,31011,29.0,62.0,102.0,197.5,88.0,124.0
1.2.826.0.1.3680043.6917.npz,C2,42367,53.0,70.0,85.0,180.5,99.0,127.5
1.2.826.0.1.3680043.6917.npz,C3,26585,36.0,60.0,78.0,149.0,103.0,127.0
1.2.826.0.1.3680043.6917.npz,C4,26664,35.0,62.0,77.0,127.5,113.0,128.5
1.2.826.0.1.3680043.6917.npz,C5,26956,35.0,61.0,80.0,108.5,118.5,129.0
1.2.826.0.1.3680043.6917.npz,C6,31280,38.0,73.0,84.0,90.0,133.5,130.0
